Tab_page,Fish_Code,Fish,Number,biology,distribution,tabset2b,tabset3,tabset4a,tabset4b,b1a,map2,Ageing,Ageing2,LandingsDist,,DataCol,Catch,Catchmap
Fish Species,ANF,White-bellied Anglerfish,11,"<p>White anglerfish (<i>Lophius piscatorius</i>) are distinguished by the white lining of the stomach and are therefore sometimes referred to as white bellied anglerfish. This colouration can just be seen through the gill flap, but the two are species are caught and landed. They are fast growing with females growing larger than males. Female specimens of <i> L. piscatorius</i> from the <a href=""https://www.marine.ie/Home/site-area/areas-activity/fisheries-ecosystems/irish-groundfish-survey"">Irish Groundfish surveys</a> have ranged from 9cm to 121cm (23.5Kg) while males have a lesser maximum length of 90cm (9.3Kg). About 50% of the female fish are sexually mature by 9 years of age, but males mature younger at 5-6yrs for 50% maturity. Eggs are shed in long gelatenous ribons, 60-90cm wide and up to 9m long, which float in the water currents. Feeding is invariably by ambush on the seabed using a modified fleshy spine at the front of it's dorsal fin as a lure. It will consume virtually anything that crosses it's path and is recorded to feed in the water column or even attack seabirds at the surface in order to meet it's voracious appetite.The population structure is poorly understood but genetic diversity within the species appears to be limited.
Anglerfish can migrate hundreds of kilometres and the eggs and larvae are pelagic for up to 4 months, allowing
them to be dispersed over large areas. Recruitment success varies strongly between years.</p>","<p><i>Lophius piscatorius</i> is a North Eastern Atlantic species, with a distribution area from Norway (Barents Sea) to the Straits of Gibraltar (and including the Mediterranean and the Black Sea). Most survey catches are concentrated off the west and south west coasts as well as the commercial fishing grounds in the Celtic Sea south of Waterford. Depth range for <i>L. piscatorius</i> is from 17m - 750m (survey maximum) White anglerfish occur throughout the north-east Atlantic
and in the Mediterranean and Black sea. They are most abundant at depths of 200-
800m but also occur in coastal waters.  Juvenile white anglerfish are mainly found offshore; medium-sized fish
migrate inshore and the adults move offshore again. </p>",,<p>No text available</p>,,,<p><b>Main map: </b>The distribution of anglerfish (black and white belied) landings by Irish vessels >15m from 2007 to 2018.  Smaller vessels contribute less than 4% of the total landings. Most catches are taken from depths between 50 and 200m but the highest catch rates occur along the shelf edge at depths between 200 and 350m.</p>,,,<p>Otoliths are not routinely used to age this species but the illicia (lure) is used instead. Aging for this species is not currently carried out in the Marine Institute.  </p>,Nearly all landings are taken by demersal otter trawls.,,,,
Fish Species,ANF,Black-bellied Anglerfish,12,"<p>Black anglerfish (<i>Lophius budegassa</i>) are distinguished by the black lining of the stomach and are therefore sometimes referred to as black bellied anglerfish. This colouration can just be seen through the gill flap, but the two are species are caught and landed together. They are fast growing with females growing larger than males. Max length for <i>L. budegassa</i> has been 81cm on the <a href=""https://www.marine.ie/Home/site-area/areas-activity/fisheries-ecosystems/irish-groundfish-survey"">Irish Groundfish surveys</a>. About 50% of the female fish are sexually mature by 9 years of age, but males mature younger at 5-6yrs for 50% maturity. Eggs are shed in long gelatenous ribons, 60-90cm wide and up to 9m long, which float in the water currents. Feeding is invariably by ambush on the seabed using a modified fleshy spine at the front of it's dorsal fin as a lure. It will consume virtually anything that crosses it's path and is recorded to feed in the water column or even attack seabirds at the surface in order to meet it's voracious appetite.The population structure is poorly understood but genetic diversity within the species appears to be limited.
Anglerfish can migrate hundreds of kilometres and the eggs and larvae are pelagic for up to 4 months, allowing
them to be dispersed over large areas. Recruitment success varies strongly between years.</p>","<p> <i>Lophius budegassa</i> has a southern distribution from the British islands and Ireland to Senegal (including the Mediterranean and the Black Sea). Most survey catches are concentrated off the west and south west coasts as well as the commercial fishing grounds in the Celtic Sea south of Waterford. Depth range for  <i>L. budegassa</i> 55m - 500m.  Black anglerfish are more restricted in their
range than White anglerfish: they do not occur as far north and are mainly found offshore between 200 and
500m depth. Juvenile black anglerfish are
mainly found in the western Celtic Sea and sometimes in the Bay Biscay. </p>",,<p>No text available</p>,,,<p><b>Main map: </b>The distribution of anglerfish (black and white belied) landings by Irish vessels >15m from 2007 to 2018.  Smaller vessels contribute less than 4% of the total landings. Most catches are taken from depths between 50 and 200m but the highest catch rates occur along the shelf edge at depths between 200 and 350m.</p>,,,<p>Otoliths not routinely used to age this species but the illicia (lure) is used instead. Aging for this species is not currently carried out in the Marine Institute as it is very difficult.  </p>,Nearly all landings are taken by demersal otter trawls.,,,,
Fish Species,PLE,Plaice,13,"<p>Plaice (<i>Pleuronectes platessa</i>) are found throughout the Atlantic coast of Europe and in
the western Mediterranean. They are usually found in waters less than 100m depth.
Older fish are found in deeper water. Plaice are most commonly found on sandy,
muddy or gravel bottom. Small fish are found in intertidal areas and there is evidence
to suggest homing behaviour.
The Irish Sea is an important spawning ground for plaice. Spawning occurs off the
bottom from February to April in the Irish Sea and is dependent on water
temperature. Males reach maturity between 2 and 6 years, and females between 3
and 7 years, with age at maturity again being dependent on water temperature.
Young plaice feed on small worms and shrimp. As they grow their diet becomes
more varied and they eat small crustaceans, crabs, mussels, scallops and shrimp.</p>","<p>Plaice are found from southern Greenland to Norway, south to Morocco, and east to the Mediteranean and White Sea. Juveniles (average length 12cm) are very small and found inshore in very shallow water so not commonly encountered on the survey. Adults are have been caught over the survey area from10m down to to 255m, but on average are caught between the coast and 120m depth especially over areas of sandy seabed.</p>",,<p>No text available</p>,,,"<p><b>Main map: </b>The  distribution  of  plaice  landings  by  Irish  vessels >15m from 2007 to 2018.  Smaller vessels contribute 23% of the total landings, these vessels mainly operate inshore along the south and west coast of Ire- land. Plaice are caught on localised sandy patches in relatively shallow areas.</p>",,,"<p>Plaice otoliths generally have high readability and are easy to age. These ototliths are read whole mounted in a black plastic tray with a clear resin. Approximately up to 5,000 Plaice otoliths are collected and read each year in the Marine Institute. </p>",Plaice are caught on localised sandy patches in relatively shallow areas.,,,,
Fish Species,POK,Saithe,14,"<p>Saithe is a large Gadoid, reaching maximum size of 130cm. It is a cold-water species distributed throughout the
northern Atlantic. Saithe live in shoals and occur close to the bottom, in midwater and even near the surface.
Juveniles occur mostly in coastal waters while older fish move to deeper waters. Tagging experiments have
shown that adults can migrate over considerable distances, indicating at least some exchange between the
Norwegian coast, Faroe and Iceland. <a href=""https://www.marine.ie/Home/site-area/areas-activity/fisheries-ecosystems/irish-groundfish-survey"">Irish Groundfish surveys</a> data show that density in the north eastern North Sea is markedly higher during summer than during winter, suggesting dispersal during the feeding season.
Saithe feed primarily on pelagic organisms. Krill is the most important food for young fish, but is also consumed
by larger individuals. Larger fish mainly feed on capelin, sandeels and other fish species.
Growth is quite rapid and the saithe reach sexual maturity at the age of 5 or 6 years.</p>",<p>Saithe are mostly caught in the Celtic Sea and along the edge of the continental shelf in the north.</p>,,<p>No text available</p>,,,"<p><b>Main map: </b>The  distribution  of  saithe  landings  by  Irish  vessels >15m from 2007 to 2018.  Smaller vessels contribute 16% of the total landings, these vessels mainly operate inshore off the south and south-west coast of Ireland. Saithe are mainly caught along the continental shelf edge between 100 and 350m depth.</p>",,,<p>Saithe otoliths are not routinely read in the Marine Institute. Although there were some read in 2002-2004 and also in 2016.</p>,Saithe were mostly caught in the Celtic Sea and along the edge of the continental shelf in the north.,,,,
Fish Species,POL,Pollack,15,"<p>Pollack is a benthopelagic gadoid, occuring thoughout the north-east Atlantic, mainly over hard bottom. Pollack
usually occur at 40-100m depth but are found down to 200m. Young pollack occur mostly inshore while older
fish move to deeper waters.
Pollack are fast growing at 10cm or more per year. The maximum reported size on the <a href=""https://www.marine.ie/Home/site-area/areas-activity/fisheries-ecosystems/irish-groundfish-survey"">Irish Groundfish surveys</a> is 130cm in length and 18.1kg in
weight. The maximum reported age is 15 years.
Males mature at smaller sizes than females, recent studies suggest that females in the Celtic Sea mature at
around 60cm in length. Spawning occurs mainly in the first half of the year, at about 100 m depth. Pollack can
form dense shoals during spawning time.</p>",<p>Pollack are mostly caught by gillnets over hard ground.</p>,,<p>No text available</p>,,,"<p><b>Main map: </b>The distribution of pollack landings by Irish vessels >15m from 2007 to 2018.  Smaller vessels contribute 46% of the total landings, these vessels mainly operate inshore off the south and south-west coast of Ireland. Pollack are caught on hard ground, often around wrecks.</p>",,,"<p>Pollack otoliths are not routinely read in the Marine Institute, however, there were a limited number of otoliths read in 2016.</p>",Pollack are mostly caught by gillnets over hard ground.,,,,
Fish Species,SOL,Sole,17,"<p> Black sole, also called Dover sole, (<i>Solea solea<i>) are flat fish which lie buried on sandy or muddy
seabed. They feed primarily at night on small crustaceans, worms and bivalve molluscs.
In common with many flatfish, sole are fast growing as juveniles, slowing down as they
mature. Females grow larger than the males. They can reach lengths of up to 70cm or
weights of up to 3kg. Sole are quite solitary marine and estuarine fish, and the local
environment may contribute to variable growth rates.
Females reach maturity by ca. 6yrs and an average mature female can produce in the
region of 150,000 - 200,000 eggs a year. They spawn in spring and early summer and
become mature at 3-6 years when they are around 25-30cm long. Juveniles are
found in the first 2-3 years in coastal nurseries before they move in to deeper waters.</p>","<p>Common sole (also called black or Dover sole) are found from Norway to west of Scotland in the north, down to Senegal in in the south, and east into the Mediteranean Sea. Juvenile fish, less than a year old (average length 12cm), are small and so not commonly caught on the survey. Adults have been mostly caught coastally around sandy bays and estuaries from 10m depth down to 255m on sandy habitat further offshore.</p>",,<p>No text available</p>,,,<p><b>Main map: </b>The distribution of black sole landings by Irish vessels >15m from 2007 to 2018. Smaller vessels contribute 23% of the total landings and are mainly distributed inshore off the west and south-west coast of Ireland.</p>,,,"<p>Sole otoliths are small in size, less than 5mm surface length even in larger fish. These otoliths can be quite difficult to age due to split and false rings. Sole can routinely be found to be 25+ years old. These otoliths are mounted into black polyester resin and sectioned. These sections are then mounted to glass slides and covered with clear resin. Apprioximately 3,500 sole otoliths are read by the Marine Institute each year.</p>",Landings are taken from both bottom trawls and beam trawls. ,,,,
Fish Species,SPR,Sprat,18,"<p>Sprat (<i>Sprattus sprattus</i>) are a short lived, fast growing species. Their size range on the <a href=""https://www.marine.ie/Home/site-area/areas-activity/fisheries-ecosystems/irish-groundfish-survey"">Irish Groundfish surveys</a> is between 3 to 17cm with a mean size of 9cm. Sprat are not aged at the groundfish survey, but in general they reach maturity in their first to second year and rarely live longer than four years. Sprat feed on plankton and are an important prey fish with several fish species as well as sea birds and marine mammals feeding on this species.</p>","<p>Sprat are a pelagic shoaling species, which are distributed in shallow waters in the Bay of Biscay, the Celtic Seas, the North Sea and the Baltic Sea. It is not known whether sprat in the Celtic Sea are a separate stock. On the groundfish survey they are primarily found in the inshore stations and bays at a depth ranging from 10m to upto 180 metres. They are also found in some concentrated patches in the eastern Celtic Sea and to the west of Scotland. </p>",,<p>No text available</p>,,,<p><b>Main map: </b>The distribution of sprat landings by Irish vessels >15m from 2007 to 2018. Smaller vessels contribute 51% of the total landings. The catches are highly localised and mainly take place inside bays and are therefore difficult to distinguish in this map. Sprat are targeted during the winter months.</p>,,,"<p>Sprat otoliths are not routinely read in the Marine Institute, although there were a small number read in 2012.</p>",,,,,
Fish Species,WHB,Blue Whiting,19,"<p>Blue whiting (<i>Micromesistius poutassou</i>) is a relatively fast growing gadoid. On the <a href=""https://www.marine.ie/Home/site-area/areas-activity/fisheries-ecosystems/irish-groundfish-survey"">Irish Groundfish surveys</a> the size of specimen caught ranges between ca 10 an 40cm with an average size of 20cm. This corresponds to a ca. 1 year old fish. Adults reach maturation between 2-7 years old and once mature they release their eggs into the water column in batches.  The main blue whiting spawning areas are located along the shelf edge and banks west of the British Isles and egg and larval survival is very dependant on oceanographic conditions. Blue whiting consume zooplankton such as and small fish. They are an important prey species for larger fish and marine mammals. </p>","<p>Blue whiting are widely distributed in the Northeast Atlantic from the Barents and Norwegian seas to south of the Iberian Peninsula. These are all regarded as one stock. Blue whiting are a pelagic species which can form dense shaols. They are highly migratory and undergo spawning, feeding and overwintering migrations between the Bay of Biscay in the south and Norway and Iceland in the north.  The groundfish survey catches juveniles and adults, but the mayority of the catches are juvenile. Survey catches are concentrated along the continental shelf edge and the average depth for blue whiting on this survey is ca. 190m although they are caught in up to 750m of depth.</p>",,<p>No text available</p>,,,<p><b>Main map: </b>The distribution of blue whiting landings by Irish vessels >15mfrom 2007 to 2018. Vessels <15m do not tend to land blue whiting. The main fishery takes place during February and March.</p>,,,"<p>Otoliths for blue whiting are difficult to age especially the northern component. Split rings and false rings are very common in these otoliths. They are read under water using refracted light. There are approximately 2,500 commercial and survey blue whiting otoliths read each year in the Marine Institute.</p>",They are caught mostly in Division 7.c and Subarea 6.,,,,
Fish Species,WHG,Whiting,20,"<p>Whiting (<i>Merlangius merlangus</i>) are voracious feeders appearing in large shoals and feeding largely on
crustaceans and increasingly small fish. Their fine sharp teeth reflect the more
predatory diet hunting mobile prey in the water column. They are fast growing and
reach about 26cm in the first year at which stage about 60% are sexually mature. At
age 2 almost 100% of females and ~ 85% of males are fully mature. The growth rate
varies considerably in Irish waters. The slowest growth occurs in the Irish Sea while
the fastest growth off the west coast where the whiting can grow up to 70 cm.The minimum landing size (MLS) in whiting coincides with fish at essentially one year old.  A significant proportion of the <a href=""https://www.marine.ie/Home/site-area/areas-activity/fisheries-ecosystems/irish-groundfish-survey"">Irish Groundfish surveys</a> catch is below this limit and therefore a useful source of data on juvenile survival and recruitment. Fecundity is significantly higher in whiting than the related cod and haddock, with a 30cm whiting producing about half a million eggs.</p>","<p>Whiting are widely distributed throughout Irish and European waters from depths of
10m to 300m. They are common throughout the NE Atlantic, from the Barents Sea and Iceland down to the southern Bay of Biscay.  Adults are mainly found over sandy/muddy ground down to 100m with
juveniles (up to 1yr old) found separately in coastal waters closer inshore.  </p>",,<p>No text available</p>,,,"<p><b>Main map: </b>The distribution of whiting landings by Irish vessels >15m from 2007 to 2018.  Smaller vessels contribute 6% of the total landings,  these vessels mainly operate inshore off the south and south-west coast.</p>",,,"<p>Typically whiting otoliths have medium readability as most of them take some consideration before an age is assigned. A reader would need to be reading these otoliths for a number of years before they would be confident in their age interpretation of this species. The otoliths are mounted into black polyester resin and sectioned, resulting sections are mounted on to glass slides and covered with clear resin.</p>",Most whiting are caught around the 'Smalls' area in the Celtic Sea by otter trawlers and seine netters.,,,,
Fish Species,SCE,Scallop,16,<p>No text available</p>,<p>No text available</p>,,<p>No text available</p>,,,<p>No text available</p>,,,<p>Species-specific ageing information needed</p>,,,,,
Fish Species,NEP,Nephrops,,"<p>Nephrops norvegicus is widely distributed on muddy substrates throughout
the north-east Atlantic from Iceland in the north to Morocco in the south.
Around Ireland they are found in depths from 20m to600m but mainly at
average depths of ~100 m on the shelf. They construct shallow burrows in
muddy sediments which limits the distribution. Nephrops larvae hatch late
spring/early summer. The females leave the burrows to hatch the eggs and
mate. The eggs take about 4-8 weeks to develop into juveniles depending on
water temperature. For the remainder of the year mature females then
spend the majority of time in their burrows first to spawn the eggs and then
incubate them. Male Nephrops are more active outside of the burrows
foraging for food.
Unlike fish, there is no direct way to age Nephrops. Growth rates vary considerably in different areas. Mean size
is negatively correlated with density of individuals. The maximum carapace length recorded for Nephrops is a
male of 9.3 cm from the Porcupine Bank Irish sampling programme.</p>",<p>No text available</p>,,<p>No text available</p>,,,"<p><b>Main map: </b>The distribution of Nephrops landings by Irish vessels >15m from 2007 to 2018.  Smaller vessels contribute 10% of the total landings, these vessels mainly operate on the inshore Nephrops grounds in the Celtic Sea and on the Irish Sea Nephrops grounds.</p>",,,<p>Species-specific ageing information needed</p>,Most Irish landings are taken in the Celtic Sea.,,,,
